City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Hambantota,LK,86.34,6.1241,81.1185,
3,San Patricio,US,78.64,28.017,-97.5169,
12,Bambous Virieux,MU,77.25,-20.3428,57.7575,
14,Kahului,US,77.85,20.8947,-156.47,
17,Kloulklubed,PW,77.5,7.0419,134.2556,
18,Palmas,BR,78.67,-10.2128,-48.3603,
19,Mahebourg,MU,77.29,-20.4081,57.7,
20,Cascais,PT,77.61,38.6979,-9.4215,
21,Butaritari,KI,83.1,3.0707,172.7902,
29,Namatanai,PG,80.38,-3.6667,152.4333,
31,Guadalupe Victoria,MX,77.52,32.2869,-115.105,
35,Bintulu,MY,75.61,3.1667,113.0333,
37,Barra Do Corda,BR,88.41,-5.5,-45.25,
38,Cabo San Lucas,MX,80.51,22.8909,-109.9124,
40,Bull Savanna,JM,76.96,17.8868,-77.5902,
44,Amahai,ID,78.84,-3.3333,128.9167,
50,Banjar,ID,80.46,-8.19,114.9675,
52,Brokopondo,SR,80.31,4.75,-55.1667,
56,Mwingi,KE,88.36,-0.9344,38.0601,
64,Saint-Philippe,RE,78.39,-21.3585,55.7679,
71,Methoni,GR,82.26,36.8197,21.7049,
75,Meulaboh,ID,76.62,4.1363,96.1285,
77,Caconda,AO,88.61,-13.7333,15.0667,
78,Amarpatan,IN,81.91,24.3167,80.9833,
80,Port Blair,IN,80.94,11.6667,92.75,
83,Atuona,PF,77.41,-9.8,-139.0333,
84,Jalu,LY,88.61,29.0331,21.5482,
87,Inyonga,TZ,89.51,-6.7167,32.0667,
89,Faya,SA,82.51,18.3851,42.4509,
90,Karratha,AU,76.96,-20.7377,116.8463,
98,Quatre Cocos,MU,77.11,-20.2078,57.7625,
99,Hurghada,EG,89.64,27.2574,33.8129,
100,Natal,BR,77.65,-5.795,-35.2094,
103,Waddan,LY,85.06,29.1614,16.139,
104,Mahenge,TZ,85.12,-8.6833,36.7167,
105,La Asuncion,VE,84.2,11.0333,-63.8628,
115,Sinnamary,GF,82.26,5.3833,-52.95,
123,Labuhan,ID,81.18,-6.8844,112.2051,
124,Georgetown,MY,84.88,5.4112,100.3354,
131,Hithadhoo,MV,83.14,-0.6,73.0833,
132,Sambava,MG,77.14,-14.2667,50.1667,
138,Komsomolskiy,UZ,76.42,40.4272,71.7189,
139,Alta Floresta,BR,84.97,-9.8756,-56.0861,
140,Kudahuvadhoo,MV,82.47,2.6708,72.8944,
141,Pedernales,DO,83.62,18.0384,-71.744,
142,Kieta,PG,79.2,-6.2167,155.6333,
144,Mount Isa,AU,80.37,-20.7333,139.5,
147,Cassilandia,BR,88.27,-19.1133,-51.7342,
149,Ponta Do Sol,PT,79.72,32.6667,-17.1,
150,Kaliganj,BD,80.06,23.4095,89.1402,
152,Hyeres,FR,81.25,43.1167,6.1167,
159,Hobyo,SO,81.39,5.3505,48.5268,
160,Gat,IL,83.79,31.61,34.7642,
161,Puerto Del Rosario,ES,78.55,28.5004,-13.8627,
164,Pasighat,IN,82.04,28.0667,95.3333,
169,Salalah,OM,89.69,17.0151,54.0924,
172,Nikki,BJ,88.52,9.9401,3.2108,
175,Mana,GF,84.79,5.6592,-53.7767,
183,Yurimaguas,PE,80.19,-5.9,-76.0833,
186,Longonjo,AO,89.8,-12.9067,15.2533,
187,Vila Velha,BR,79.97,-20.3297,-40.2925,
197,Sao Filipe,CV,81.16,14.8961,-24.4956,
198,Faanui,PF,78.98,-16.4833,-151.75,
199,Boundiali,CI,86.92,9.5217,-6.4869,
204,Cieza,ES,87.84,38.24,-1.4199,
205,Tura,IN,79.09,25.5198,90.2201,
209,Edea,CM,87.58,3.8,10.1333,
215,Rio Pomba,BR,81.73,-21.2747,-43.1792,
216,Sola,VU,75.87,-13.8833,167.55,
217,Cap Malheureux,MU,77.49,-19.9842,57.6142,
218,Kapaa,US,75.52,22.0752,-159.319,
222,Kavaratti,IN,81.97,10.5669,72.642,
224,Shanghai,CN,80.46,31.2222,121.4581,
230,Toamasina,MG,78.8,-18.1667,49.3833,
234,Kamina,CD,89.69,-8.7386,24.9906,
235,Astanajapura,ID,79.63,-6.8017,108.6311,
238,Buala,SB,78.71,-8.145,159.5921,
241,Ixtapa,MX,76.23,20.7,-105.2,
243,Japura,ID,76.62,-0.3167,102.35,
245,Kandrian,PG,77.72,-6.2167,149.55,
248,Lata,PT,78.49,40.1629,-8.3327,
250,Dingle,PH,76.8,10.9995,122.6711,
252,Bombay,IN,80.58,19.0144,72.8479,
254,Arraial Do Cabo,BR,76.96,-22.9661,-42.0278,
255,Honiara,SB,78.69,-9.4333,159.95,
257,Bubaque,GW,83.1,11.2833,-15.8333,
258,Benghazi,LY,78.55,32.1167,20.0667,
259,Coahuayana,MX,78.28,18.7333,-103.6833,
264,Axim,GH,81.28,4.8699,-2.2405,
266,Kampot,KH,82.45,10.6167,104.1833,
267,Sao Joao Da Barra,BR,77.09,-21.6403,-41.0511,
269,Hirara,JP,84.02,24.8,125.2833,
271,Naze,JP,77.58,28.3667,129.4833,
272,Victoria,HK,86.22,22.2855,114.1577,
275,Akyab,MM,78.62,20.15,92.9,
279,Unai,BR,88.36,-16.3575,-46.9061,
291,Ambilobe,MG,85.62,-13.2,49.05,
293,Bandarbeyla,SO,83.79,9.4942,50.8122,
295,Pundaguitan,PH,84.47,6.3711,126.1689,
297,Kavieng,PG,82.62,-2.5744,150.7967,
299,Souillac,MU,77.38,-20.5167,57.5167,
303,Businga,CD,81.73,3.3333,20.8833,
306,Banon,ES,76.26,40.8382,-1.1909,
308,Ciudad Bolivar,VE,83.8,8.1222,-63.5497,
310,Alcaudete,ES,83.71,37.5909,-4.0824,
312,Altagracia De Orituco,VE,84.36,9.8601,-66.3814,
313,Vilhena,BR,86.16,-12.7406,-60.1458,
315,Shenjiamen,CN,76.15,29.9576,122.298,
318,Eydhafushi,MV,80.91,5.1033,73.0708,
322,Kushima,JP,76.51,31.4583,131.2333,
323,Misratah,LY,81.68,32.3754,15.0925,
326,Lorengau,PG,81.88,-2.0226,147.2712,
329,Eyl,SO,88.77,7.9803,49.8164,
332,Itacoatiara,BR,78.03,-3.1431,-58.4442,
333,Saint-Leu,RE,77.86,-21.15,55.2833,
337,Baft,IR,79.59,29.234,56.6057,
341,Amalapuram,IN,82.78,16.5833,82.0167,
344,Lusambo,CD,88.63,-4.9667,23.45,
350,Camopi,GF,87.22,3.1655,-52.3158,
352,Netanya,IL,83.84,32.3329,34.8599,
356,Keti Bandar,PK,85.89,24.1447,67.4497,
360,Yulara,AU,80.44,-25.2406,130.9889,
361,Mount Darwin,ZW,83.98,-16.7725,31.5838,
370,Buchanan,LR,80.56,5.8808,-10.0467,
371,Savalou,BJ,87.62,7.9281,1.9756,
373,Cayenne,GF,87.1,4.9333,-52.3333,
374,Mascote,BR,77.29,-15.5631,-39.3025,
375,Olinda,BR,80.33,-8.0089,-34.8553,
378,Yaan,NG,85.66,7.3833,8.5667,
379,Castro,BR,77.38,-24.7911,-50.0119,
381,Le Port,RE,78.8,-20.9373,55.2919,
382,Ducheng,CN,86.07,23.2373,111.5317,
385,Luanda,AO,82.4,-8.8368,13.2343,
386,Belmonte,BR,79.3,-15.8631,-38.8828,
387,Barra Patuca,HN,81.82,15.8,-84.2833,
388,Guarapari,BR,79.92,-20.6667,-40.4975,
390,Mumford,GH,80.31,5.2618,-0.759,
391,Robore,BO,82.49,-18.3333,-59.75,
393,Acapulco,MX,78.62,16.8634,-99.8901,
395,Maceio,BR,85.44,-9.6658,-35.7353,
396,Hauterive,FR,75.02,46.0901,3.4459,
399,Kirakira,SB,79.32,-10.4544,161.9205,
403,Yichang,CN,77.92,30.7144,111.2847,
404,Puri,IN,82.38,19.8,85.85,
409,Nakhon Thai,TH,75.11,17.1006,100.8374,
410,Nisia Floresta,BR,77.81,-6.0911,-35.2086,
414,Asfi,MA,75.78,32.2994,-9.2372,
417,Caravelas,BR,80.71,-17.7125,-39.2481,
418,Manokwari,ID,80.38,-0.8667,134.0833,
419,Ajdabiya,LY,81.59,30.7554,20.2263,
420,Haimen,CN,82.29,23.1935,116.6142,
422,Road Town,VG,86.04,18.4167,-64.6167,
424,Saint-Georges,GD,83.88,12.0564,-61.7485,
425,Bhuban,IN,81.9,20.8833,85.8333,
429,Alto Parana,BR,77.36,-23.1289,-52.3189,
