City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hambantota,6.1241,81.1185,86.34,62,40,18.41,LK,2021-09-27 12:29:22
1,Tiksi,71.6872,128.8694,34.14,97,100,13.33,RU,2021-09-27 12:24:21
2,Abu Zabad,12.35,29.25,92.95,34,18,9.15,SD,2021-09-27 12:29:23
3,San Patricio,28.017,-97.5169,78.64,81,57,3.8,US,2021-09-27 12:29:24
4,Hilo,19.7297,-155.09,73.62,95,90,3.44,US,2021-09-27 12:22:01
5,Ulaangom,49.9811,92.0667,38.35,23,47,12.46,MN,2021-09-27 12:29:26
6,Bluff,-46.6,168.3333,38.8,80,25,9.84,NZ,2021-09-27 12:24:30
7,Tuktoyaktuk,69.4541,-133.0374,28.0,86,95,13.78,CA,2021-09-27 12:22:59
8,Qufu,35.5967,116.9911,68.9,92,98,4.16,CN,2021-09-27 12:29:27
9,Kaitangata,-46.2817,169.8464,40.93,79,3,5.3,NZ,2021-09-27 12:21:48
10,Tuatapere,-46.1333,167.6833,38.82,86,34,5.39,NZ,2021-09-27 12:21:27
11,Cape Town,-33.9258,18.4232,64.11,73,75,14.97,ZA,2021-09-27 12:19:15
12,Bambous Virieux,-20.3428,57.7575,77.25,65,75,12.66,MU,2021-09-27 12:22:04
13,Rikitea,-23.1203,-134.9692,73.58,69,2,19.37,PF,2021-09-27 12:21:43
14,Kahului,20.8947,-156.47,77.85,88,1,16.11,US,2021-09-27 12:24:26
15,Evensk,61.95,159.2333,39.24,51,67,5.99,RU,2021-09-27 12:26:59
16,Guerrero Negro,27.9769,-114.0611,67.42,79,3,11.7,MX,2021-09-27 12:29:28
17,Kloulklubed,7.0419,134.2556,77.5,73,54,4.92,PW,2021-09-27 12:24:41
18,Palmas,-10.2128,-48.3603,78.67,83,75,5.75,BR,2021-09-27 12:29:29
19,Mahebourg,-20.4081,57.7,77.29,65,75,12.66,MU,2021-09-27 12:29:31
20,Cascais,38.6979,-9.4215,77.61,69,20,1.01,PT,2021-09-27 12:28:16
21,Butaritari,3.0707,172.7902,83.1,77,22,18.79,KI,2021-09-27 12:21:45
22,Iqaluit,63.7506,-68.5145,33.53,64,40,13.0,CA,2021-09-27 12:23:53
23,Coquimbo,-29.9533,-71.3436,51.53,100,90,8.05,CL,2021-09-27 12:26:51
24,Jamestown,42.097,-79.2353,61.52,53,1,5.01,US,2021-09-27 12:22:45
25,Qaanaaq,77.484,-69.3632,22.44,63,100,7.14,GL,2021-09-27 12:22:08
26,Nikolskoye,59.7035,30.7861,57.87,61,21,6.49,RU,2021-09-27 12:24:10
27,Ushuaia,-54.8,-68.3,40.66,81,20,8.05,AR,2021-09-27 12:19:43
28,Port Elizabeth,-33.918,25.5701,68.29,73,75,34.52,ZA,2021-09-27 12:23:25
29,Namatanai,-3.6667,152.4333,80.38,79,86,4.43,PG,2021-09-27 12:24:09
30,Necochea,-38.5473,-58.7368,49.03,68,85,5.75,AR,2021-09-27 12:29:34
31,Guadalupe Victoria,32.2869,-115.105,77.52,55,2,6.2,MX,2021-09-27 12:29:36
32,Saint George,37.1041,-113.5841,72.54,54,1,3.0,US,2021-09-27 12:23:56
33,Usinsk,65.9939,57.5281,42.94,56,100,9.55,RU,2021-09-27 12:23:08
34,East London,-33.0153,27.9116,70.74,68,0,27.63,ZA,2021-09-27 12:24:42
35,Bintulu,3.1667,113.0333,75.61,100,40,2.3,MY,2021-09-27 12:29:37
36,Vaini,-21.2,-175.2,60.96,100,20,3.44,TO,2021-09-27 12:21:27
37,Barra Do Corda,-5.5,-45.25,88.41,50,14,6.13,BR,2021-09-27 12:29:38
38,Cabo San Lucas,22.8909,-109.9124,80.51,72,1,11.5,MX,2021-09-27 12:27:20
39,Albany,42.6001,-73.9662,59.27,84,70,2.64,US,2021-09-27 12:23:11
40,Bull Savanna,17.8868,-77.5902,76.96,79,6,3.94,JM,2021-09-27 12:29:39
41,Lakselv,70.0513,24.9718,66.02,52,0,14.97,NO,2021-09-27 12:29:40
42,Shubarshi,48.5872,57.1869,59.74,42,86,19.01,KZ,2021-09-27 12:29:42
43,Cidreira,-30.1811,-50.2056,69.12,79,17,6.46,BR,2021-09-27 12:23:45
44,Amahai,-3.3333,128.9167,78.84,87,80,2.68,ID,2021-09-27 12:29:43
45,Avarua,-21.2078,-159.775,71.65,94,75,2.3,CK,2021-09-27 12:22:13
46,Hovd,48.0056,91.6419,36.03,27,4,13.0,MN,2021-09-27 12:23:16
47,Sorland,67.667,12.6934,66.27,88,89,6.13,NO,2021-09-27 12:21:22
48,Punta Arenas,-53.15,-70.9167,42.91,70,0,16.11,CL,2021-09-27 12:21:23
49,Upernavik,72.7868,-56.1549,24.4,61,4,4.99,GL,2021-09-27 12:22:34
50,Banjar,-8.19,114.9675,80.46,86,82,6.15,ID,2021-09-27 12:29:44
51,Provideniya,64.3833,-173.3,28.98,86,23,3.42,RU,2021-09-27 12:22:10
52,Brokopondo,4.75,-55.1667,80.31,75,3,9.37,SR,2021-09-27 12:29:44
53,Vao,-22.6667,167.4833,67.55,69,14,10.27,NC,2021-09-27 12:29:47
54,Krasnyy Chikoy,50.3643,108.7512,37.22,96,89,4.36,RU,2021-09-27 12:29:47
55,Portree,57.4129,-6.1942,55.85,86,100,9.46,GB,2021-09-27 12:29:47
56,Mwingi,-0.9344,38.0601,88.36,26,43,9.17,KE,2021-09-27 12:29:49
57,Dauphin,51.1494,-100.0502,39.34,100,1,3.44,CA,2021-09-27 12:29:50
58,San Cristobal,7.7669,-72.225,73.58,74,28,3.56,VE,2021-09-27 12:29:52
59,Lebu,-37.6167,-73.65,46.62,69,1,13.47,CL,2021-09-27 12:21:51
60,Agadez,19.75,10.25,94.24,11,0,7.94,NE,2021-09-27 12:29:53
61,Tasiilaq,65.6145,-37.6368,35.76,55,23,6.26,GL,2021-09-27 12:29:54
62,Nuuk,64.1835,-51.7216,32.61,55,1,11.5,GL,2021-09-27 12:29:56
63,Liverpool,53.4106,-2.9779,63.18,68,40,5.99,GB,2021-09-27 12:29:57
64,Saint-Philippe,-21.3585,55.7679,78.39,78,50,14.07,RE,2021-09-27 12:22:27
65,Busselton,-33.65,115.3333,56.05,87,25,10.11,AU,2021-09-27 12:21:50
66,Aleksandrov Gay,50.147,48.5704,56.62,68,98,11.86,RU,2021-09-27 12:29:59
67,Marawi,7.9986,124.2928,66.65,90,89,2.48,PH,2021-09-27 12:30:00
68,Yellowknife,62.456,-114.3525,34.32,100,1,5.75,CA,2021-09-27 12:22:39
69,Dikson,73.5069,80.5464,36.95,82,64,23.22,RU,2021-09-27 12:22:24
70,Port Alfred,-33.5906,26.891,71.1,69,21,27.94,ZA,2021-09-27 12:23:22
71,Methoni,36.8197,21.7049,82.26,58,0,14.27,GR,2021-09-27 12:30:01
72,Juneau,58.3019,-134.4197,47.84,95,90,3.44,US,2021-09-27 12:30:03
73,Treinta Y Tres,-33.2333,-54.3833,65.17,74,0,6.58,UY,2021-09-27 12:30:04
74,Katsuura,35.1333,140.3,70.2,73,68,15.99,JP,2021-09-27 12:19:02
75,Meulaboh,4.1363,96.1285,76.62,86,97,3.22,ID,2021-09-27 12:30:06
76,Port Hardy,50.6996,-127.4199,51.98,93,90,11.5,CA,2021-09-27 12:30:06
77,Caconda,-13.7333,15.0667,88.61,14,98,4.16,AO,2021-09-27 12:30:08
78,Amarpatan,24.3167,80.9833,81.91,74,80,7.25,IN,2021-09-27 12:30:09
79,Narsaq,60.9167,-46.05,28.62,33,0,5.86,GL,2021-09-27 12:23:17
80,Port Blair,11.6667,92.75,80.94,80,100,7.81,IN,2021-09-27 12:30:10
81,Jiuquan,39.7432,98.5174,68.34,14,0,6.04,CN,2021-09-27 12:30:10
82,Lujan,-34.5703,-59.105,60.51,92,100,5.01,AR,2021-09-27 12:30:10
83,Atuona,-9.8,-139.0333,77.41,73,20,20.33,PF,2021-09-27 12:22:29
84,Jalu,29.0331,21.5482,88.61,20,0,7.14,LY,2021-09-27 12:30:12
85,New Norfolk,-42.7826,147.0587,49.71,92,59,2.48,AU,2021-09-27 12:21:51
86,Gerash,27.6652,54.1371,98.74,12,6,8.48,IR,2021-09-27 12:30:13
87,Inyonga,-6.7167,32.0667,89.51,22,100,3.09,TZ,2021-09-27 12:30:15
88,Ushumun,52.7833,126.5333,45.55,71,7,6.89,RU,2021-09-27 12:30:16
89,Faya,18.3851,42.4509,82.51,15,63,15.12,SA,2021-09-27 12:30:18
90,Karratha,-20.7377,116.8463,76.96,29,50,13.96,AU,2021-09-27 12:30:19
91,Severo-Kurilsk,50.6789,156.125,47.07,90,15,9.1,RU,2021-09-27 12:30:19
92,Hobart,-42.8794,147.3294,50.05,80,0,8.05,AU,2021-09-27 12:23:32
93,Qaqortoq,60.7167,-46.0333,28.9,33,0,4.92,GL,2021-09-27 12:30:21
94,Clyde River,70.4692,-68.5914,25.07,89,98,9.71,CA,2021-09-27 12:24:23
95,Rosarito,32.3333,-117.0333,65.35,77,90,6.49,MX,2021-09-27 12:30:23
96,Bekobod,40.2208,69.2697,74.89,40,0,7.49,UZ,2021-09-27 12:30:24
